PROJ_NAME,ZIPCODE,SECTION8,RES_UNITS,ST_NUM,ST_NAME,CITY
Brookview House III,2124.0,,12,2.0,Brookview St #1, Dorchester Center
Brown (VUP),2121.0,,3,,,
"Brown, J & D (VUP)",2121.0,,1,,,
Brown-Kaplan Townhomes,2124.0,Y,60,754.0,Blue Hill Avenue, Dorchester
Brownstone Apartments,2118.0,Y,75,163.0,W Springfield St # A, Boston
Brunswick Street,2121.0,,3,,Brunswick St, Boston
Brush Hill Commons,2130.0,,14,,Brush Hill Rd, Milton
Buckminster Hotel,2215.0,,18,645.0,Beacon St, Boston
Buildable Lots - Codman Square,0.0,,6,587.0,Washington St, Dorchester Center
Buildable Lots - Ferndale,2124.0,,12,2273.0,Dorchester Ave, Boston
Buildable Lots - Uphams,0.0,,6,500.0,Columbia Rd, Dorchester
Buildable Lots- 1&2,2124.0,,15,,,
Buildable Lots- 3&4,0.0,,18,11.0,Hancock St, Charlestown
Buildable Lots- 5,2124.0,,9,68.0,Armandine St, Boston
Buildable Lots- 6,2126.0,,12,981.0,Morton St, Boston
Building 104,2129.0,,46,50.0,Terminal St, Charlestown
Builduing 33 at Navy Yard,2129.0,,47,33.0,3rd Ave, Boston
Burbank Gardens,2115.0,Y,52,,Burbank St, Boston
Burton Apts (18u),2120.0,Y,18,1575.0,Tremont St #1107, Boston
Burton-Dudley,2119.0,,16,,Burton Ave, Boston
Call Carolina Homes,2130.0,,8,,,
Callender|Floyd|Stratton NHI 1,2124.0,,2,,Callender St, Boston
Callender|Floyd|Stratton NHI 2,2124.0,,2,,,
Callender|Floyd|Stratton NHI 3,2124.0,,1,,Callender St, Boston
Callender|Floyd|Stratton NHI 4,2124.0,,2,,,
Callender|Floyd|Stratton NHI 5,2124.0,,2,,Callender St, Boston
Callender|Floyd|Stratton NHI 6,2124.0,,1,,Callender St, Boston
Callender|Floyd|Stratton NHI 7,2124.0,,2,,Callender St, Boston
Callender|Floyd|Stratton NHI 8,2124.0,,2,,Callender St, Boston
Callender|Floyd|Stratton NHI 9,2124.0,,1,,Callender St, Boston
Callender|Tucker NHI 1,2124.0,,2,,Callender St, Boston
Callender|Tucker NHI 2,2124.0,,2,,,
Callender|Tucker NHI 3,2124.0,,2,,Callender St, Boston
Callender|Tucker NHI 4,2124.0,,2,,,
Camden Street (200-2),2118.0,,72,200.0,Camden St, Boston
Camfield Gardens,2118.0,Y,102,,,
Capen Green,2124.0,,18,,Capen St, Boston
Cardella (VUP),2127.0,,2,,,
Cardinal Medeiros Manor,2125.0,Y,54,11.0,Woodcliff St, Boston
Caritas Centre St,2122.0,,12,289.0,Centre St, Dorchester
Caritas Centre St. II,2124.0,,11,289.0,Centre St, Dorchester
Caritas SRO Refinance,2125.0,,24,28.0,Mt Pleasant Ave, Boston
Carlton House AKA: Forward Inc. rental,2119.0,,44,2055.0,Columbus Ave, Roxbury
Carlton Wharf,2128.0,,30,,99-111 Summer St, Boston
Carol Ave. Limited Coop,2135.0,,33,,Carol Ave, Boston
Carroll (VUP),2125.0,,2,88.0,E Concord St 5th floor, Boston
Carvalho (VUP),2122.0,,2,543.0,Southern Artery, Quincy
Cary Cottage,2119.0,,10,34.0,Parker St, Chelsea
Casa Familias Unidas,2119.0,,9,302.0,Eustis St, Boston
Casa Maria,2113.0,Y,84,130.0,Endicott St, Boston
Casa Nueva Vida,2130.0,,7,53.0,Glen Rd, Boston
Casas Borinquen,2118.0,Y,36,405.0,Shawmut Ave, Boston
Cass House,2121.0,,111,,,
Castle Square,2116.0,Y,500,484.0,Tremont St, Boston
Cathedral (2-6),2118.0,,414,1400.0,Washington St, Boston
CATHERINE H GALLAGHER COOPERATIVE HOUSING,2130.0,Y,34,209.0,Heath St, Jamaica Plain
Ceinture (20 W Fifth),2127.0,,54,,,
Central Boston Elder Services,2119.0,,57,2315.0,Washington St, Boston
Centre/Lamartine,2130.0,,30,,Centre St & Lamartine St, Boston
Ceylon Field Apts (orig p/o Parkchester 98u),2121.0,,66,288.0,Columbia Rd, Boston
Chaisson (VUP),2125.0,,2,7.0,Sachem St, Boston
Channel View Condominiums,2127.0,,18,35.0,Channel Center St, Boston
Channel Wharf,2127.0,,45,1.0,Black Falcon Ave, Boston
Chapman House,2128.0,,30,61.0,Eutaw St, Boston
Charlame Park Homes 2A&B,2121.0,Y,41,28.0,N Charlame Ct, Roxbury
Charlame Park Homes I,2119.0,Y,92,28.0,N Charlame Ct, Roxbury
Charles Newtowne Cooperative,2129.0,Y,262,,,
Charles Street Gardens,2129.0,,21,,Charles St, Boston
Charlesbank Cooperative Corporation,2120.0,,276,650.0,Huntington Ave, Boston
Charlestown (2-1),2129.0,,1100,2.0,US-1, Revere
Charlestown Elderly,2129.0,,42,100.0,Ferrin St, Charlestown
Charlestown Navy Yard Row Houses,2129.0,,50,,,
Charlesview Apartments,2135.0,Y,260,,Litchfield St, Boston
Chauncy House,2111.0,Y,87,115.0,Chauncy St #1740, Boston
Cheriton Grove,2132.0,Y,70,20.0,Cheriton Rd, West Roxbury
Chestnut Avenue (p/o Self Help Apts),2130.0,,3,,Chestnut Ave, Boston
Chestnut Hill Gardens,2135.0,,36,,Chestnut Hill Ave, Boston
Chestnut Hill Park,2135.0,,47,,,
Chestnut Hill Waterworks,2135.0,,108,2450.0,Beacon St, Chestnut Hill
Cheverus School Apts,2128.0,,48,10.0,Moore St, Boston
Chinagate Apartments,2111.0,Y,15,660.0,Washington St, Boston
Church St SRO,2122.0,,12,,Church St, Boston
City Square Elderly Housing,2129.0,Y,120,42.0,Park St, Charlestown
Clarendon Square,2116.0,,60,,Clarendon St, Boston
Clarendon-Warren Condominium,2116.0,,31,400.0,Stuart St, Boston
Cleaves Court Apts,2119.0,,36,232.0,Seaver St, Boston
Cliffmont Condominium,2131.0,,90,1.0,Cliffmont St, Boston
CNY - Harborview Point (Parcel 4),2129.0,,224,,,
Codman Commons,2124.0,,28,,,
Codman Square Apts (2-51),2124.0,,102,587.0,Washington St, Boston
Collins (Margaret) Apts (2-26),2130.0,,44,,,
Columbia Road/Lighthouse,2125.0,,4,735.0,Columbia Rd, Boston
Columbia West,2125.0,,57,392.0,Columbia Rd #10, Dorchester
Columbia-Wood Apartments,2121.0,Y,49,392.0,Columbia Rd #10, Dorchester
Comaven Apartments,2134.0,Y,89,,1144-1160 Commonwealth Ave, Boston
Commerce Apartments,2130.0,,60,376.0,Warren St, Boston
"Commonwealth (2-82,-95,-96,-97)",2135.0,,394,,,
Commonwealth Housing,2134.0,Y,118,,1144-1160 Commonwealth Ave, Boston
Concord Houses,2118.0,,181,725.0,Tremont St, Boston
Concord St. Elder Housing,2118.0,Y,40,725.0,Tremont St, Boston
Condor-Havre Garden Apartments,2128.0,,7,54.0,Orleans St # 1, East Boston
Continuum (Barry's Corner),2134.0,,325,219.0,Western Ave, Allston
Conway Court,2131.0,,28,1.0,Conway St, Roslindale
Coppersmith Village Ownership,2128.0,,15,99.0,Border St, Boston
Coppersmith Village Rental,2128.0,,56,99.0,Border St, Boston
Cortes Street SRO,2116.0,,41,,Cortes St, Boston
Costello Homes,2127.0,,15,519.0,Tremont St, Boston
Cote Village Townhomes,2126.0,,24,820.0,Cummins Hwy, Mattapan
Cottage Brook Apartments,2125.0,Y,147,622.0,Dudley St, Boston
Council of Elders,2119.0,Y,145,2055.0,Columbus Ave, Boston
Court St SRO,2108.0,,96,,Court St, Boston
Courtyard at Cedar Grove,2124.0,,18,,,
Covenant House 202,2135.0,Y,242,30.0,Washington St, Boston
Cox Building,2119.0,Y,31,,,
Crawford House Apts,2121.0,Y,9,86.0,Crawford St, Dorchester
Creighton Commons Condominiums,2130.0,,16,241.0,Perkins St, Boston
Crittenton Hastings House,2135.0,,62,504.0,Dudley St, Roxbury
Cummins Towers,2131.0,,239,855.0,American Legion Hwy, Roslindale
D4 Police Station,2136.0,,26,650.0,Harrison Ave, Boston
Dacia Residence at Beauford Green,2125.0,,29,,,
Danube Apartments,2121.0,Y,65,,,
DaRosa (VUP),2122.0,,1,,,
Dartmouth Hotel,2129.0,,71,39.0,Zeigler St, Boston
DARTMOUTH TCB,2118.0,,83,185.0,Dartmouth St 9th floor, Boston
Davenport Commons,2120.0,,60,,,
Davis (VUP),2125.0,,2,,,
Davison (2-34),2136.0,,47,,,
DeMarco (VUP),2128.0,,2,,,
Derne Street Lodging Home,2114.0,,18,,Derne St, Boston
Dexter Building,2111.0,,58,453.0,Washington St, Boston
DiGirolamo (VUP),2128.0,,2,,,
Dillon (VUP),2122.0,,2,955.0,Boylston St, Boston
Dimock-Bragdon Apartments,2119.0,Y,54,27.0,Dimock St, Boston
Dirigo Spice Building,2127.0,,17,,,
Disilvio (VUP),2128.0,,2,,,
Distillery Project Phase I,2127.0,,28,383.0,Dorchester Ave, Boston
Ditson St Senior Housing,2122.0,,40,25.0,Ditson St, Dorchester
DNA Lofts,2125.0,,59,944.0,Dorchester Ave, Boston
Domicilia I & II,2122.0,Y,10,,,
Domicilia III,2130.0,Y,8,,,
Dorchester House,2122.0,Y,91,1353.0,Dorchester Ave, Dorchester
Douglas Park,2118.0,,166,,Douglass Park, Boston
Dover Lofts,2118.0,,16,135.0,E Berkeley St, Boston
Drayton Homes,2125.0,,12,,Drayton Ave, Boston
Dudley Greenville,2119.0,,43,225.0,Dudley St, Roxbury
Dudley Street Apts,2119.0,,26,225.0,Dudley St, Roxbury
Dudley Terrace,2125.0,,56,,Dudley Terrace, Boston
Dudley Village Phase I (North),2125.0,,24,,,
Dudley Village Phase II (South),2125.0,,26,,,
Dumas|Mascot Neighborhood Homes,2124.0,,7,,,
Dunmore Place,2119.0,,6,,Dunmore St, Boston
Dwight St Apts,2118.0,,9,55.0,Traveler St, Boston
Eagle Hill Rehab,2128.0,,17,52.0,White St, Boston
East Berkeley Street,2118.0,,35,,E Berkeley St, Boston
East Canton St Apts,2118.0,Y,80,109.0,E Canton St, Boston
East Springfield/Northampton Streets,2118.0,,10,35.0,Northampton St, Boston
Ebenezer Homes,2118.0,Y,32,,,
"Echelon (Seaport Square Block M) Towers 1, 2, and 3",2127.0,,717,,,
Edison Green,2125.0,Y,95,,Edison Green, Boston
Edson|Peacevale NHI,2124.0,,1,,Edson St, Boston
Edson|Peacevale NHI (30 Milton),2124.0,,1,,,
Edward Everett Square,2125.0,,6,256.0,Boston St, Dorchester
Egleston Crossing,2119.0,,64,2010.0,Columbus Ave, Roxbury
Eleven West (Lechmore Point),2127.0,,50,,,
Elizabeth Stone House - Washington Westminster,2119.0,,32,3012.0,Washington St, Roxbury
Elm Hill/Seaver St Conversion,2121.0,,18,,,
Elven Road,2131.0,,8,,Elven Rd, Boston
Emerson Place - Charles River Park,2114.0,,320,1.0,Emerson Pl Apt 8N, Boston
Epps (VUP),2121.0,,2,,,
Erie-Ellington Homes,2121.0,,100,31.0,Erie St, Boston
Esperanza Walnut,2119.0,Y,42,,80-84 Walnut Ave, Boston
ETC Associates,2118.0,Y,71,630.0,Tremont St, Boston
Eutaw/Meridian,2128.0,,1,,Eutaw St & Meridian St, Boston
Eva White (2-41),2116.0,,102,,,
Factory 63,2127.0,,62,63.0,Melcher St, Boston
Fairfield Properties,2119.0,,30,219.0,Newbury St, Boston
Fairmount/Garfield (200-5),2136.0,,202,,,
Fan Pier Parcel C,2110.0,,108,,Fan Pier Boulevard, Boston
Fan Pier Parcel D,2210.0,,120,10.0,Fan Pier Boulevard Mailbox #26, Boston
Faneuil/ N. Beacon (200-4),2135.0,,256,200.0,N Beacon St, Boston
Farnsworth House,2130.0,Y,76,90.0,South St, Jamaica Plain
Father Walter J Martin Cooperative Homes,2127.0,,34,,,
FDIC Scattered Site Condo Project,2135.0,,9,,,
Fensgate Coop,2115.0,,46,,,
Fenway Center Phase 1/Buildings 1 & 2,2215.0,,316,,,
Fenway Condominiums,2115.0,,55,,41-43 Westland Ave, Boston
Fenway Condos,2215.0,,3,108.0,Peterborough St, Boston
Fenwick Gardens - Home Again,2125.0,,15,,,
Fernald State School (689-?),2125.0,,8,,,
Fieldstone Apartments,2124.0,Y,84,907.0,Blue Hill Avenue # 13, Dorchester Center
First & First (Phase I & II),2127.0,,47,,E 1st St, Boston
Florence Apartments,2131.0,Y,138,132.0,Fawndale Rd, Roslindale
Foley (William J) Apts (2-30),2127.0,,96,,,
Forbes Building,2130.0,Y,147,545.0,Centre St, Jamaica Plain
Forbes Street Residences,2130.0,,35,545.0,Centre St, Jamaica Plain
Ford (VUP),2126.0,,3,26.0,Seyon St, Waltham
Forecaster Building,2114.0,,80,121.0,Portland St, Boston
Forest Glenn Coop,2130.0,,13,106.0,Forest Hills St, Jamaica Plain
Forest Hills Apts,2130.0,Y,108,199.0,Forest Hills St, Boston
Forest Hills Cooperative,2130.0,Y,87,199.0,Forest Hills St, Boston
Forest|Vine NHI 1,2119.0,,5,,,
Forest|Vine NHI 2,2119.0,,3,,,
Fort Hill Gardens,2119.0,Y,40,,Fort Ave, Boston
Fort Point Place,2210.0,,117,,Fort Point, Boston
Foster (VUP),2121.0,,2,150.0,S Huntington Ave Suite 3c 11, Jamaica Plain
Fountain Hill,2119.0,,46,,Fountain St, Boston
Four Corners/Washington,2121.0,,35,345.0,Washington St # 1, Dorchester
Fox Hall,2125.0,,15,100.0,Pawtucket St, Lowell
"Franklin Field Family (2-89A,90-93)",2124.0,,346,,,
Franklin Field South/Highland Pk Estates,2124.0,,22,,Franklin Field South, Boston
Franklin Fld South II - HOME AGAIN,2124.0,,23,,,
Franklin Hill (2-9),2124.0,,365,1.0,Shandon Rd, Dorchester Center
Franklin Park Apts,2121.0,Y,220,132.0,Seaver St #1527, Boston
Franklin Park I,2121.0,Y,270,1.0,Franklin Park Rd, Boston
Franklin Park II,2121.0,,136,1.0,Franklin Park Rd, Boston
Franklin Square House,2118.0,Y,193,1575.0,Tremont St, Boston
Frederick Douglass (2-44A),2118.0,,76,755.0,Tremont St, Boston
Friend's House,2130.0,,9,12.0,Wise St, Boston
Fulton Court Condominium,2109.0,,67,100.0,Fulton St #1m, Boston
Gallivan Boulevard (200-10),2126.0,,251,200.0,Gallivan Blvd, Boston
Gardner Crawford Thane,2119.0,Y,49,,,
Gardner Flats Condominium,2134.0,,14,9.0,Gardner St, Allston
"GARDNER, CRAWFORD, THANE",2119.0,,64,,,
Garrison Trotter Phase I - HOME AGAIN,2121.0,,18,,,
Gatehouse 75,2129.0,,99,75.0,W School St, Charlestown
Gatehouse Units,2118.0,,14,75.0,W School St, Charlestown
Gateway Terrace - Dover Residences,2119.0,,133,40.0,Fay St H-601, Boston
General Heath Square,2130.0,,47,61.0,Heath St, Jamaica Plain
General Warren Apts (2-47),2129.0,,96,47.0,N Washington St #26, Charlestown
Geneva Apartments,2121.0,Y,47,231.0,Geneva Ave, Boston
Geneva Ave 202 - Pine Street,2121.0,,11,22.0,Beechwood St, Dorchester
Geneva Avenue Elderly Housing,2121.0,,45,22.0,Beechwood St, Dorchester
Georgetowne Housing I,2136.0,,601,400.0,Georgetowne Dr, Hyde Park
Georgetowne Housing II,2136.0,,366,400.0,Georgetowne Dr, Hyde Park
Gleason Street MIHI Package 2,2121.0,,8,489.0,Blue Hill Avenue, Dorchester
Glenville Apartments,2134.0,Y,117,1285.0,Commonwealth Ave, Allston
Glenway|Roxton NHI,2121.0,,6,,,
Goddard House,2115.0,,149,165.0,Chestnut St, Brookline
Gomes (VUP),2124.0,,1,321.0,Centre St, Boston
Goodale Rd. - HOME AGAIN,2126.0,,10,,Goodale Rd, Boston
Gordon's Wood,2132.0,,42,,,
Governor Apartments,2134.0,Y,87,209.0,Kelton St, Allston
Grand families,2124.0,,27,,,
Granite 1B:VBC Apts.-Blue Hill,2121.0,Y,30,754.0,Blue Hill Avenue, Dorchester
Granite 3-Blue Hill,2121.0,Y,148,754.0,Blue Hill Avenue, Dorchester
Granite 4B,2121.0,Y,141,754.0,Blue Hill Avenue, Dorchester
Granite-Dorchester Bay,2125.0,Y,134,5.0,Allstate Rd, Boston
Granite-Fields Corner,2121.0,Y,67,754.0,Blue Hill Avenue, Dorchester
Granite-La Concha/Nuestra,2119.0,Y,97,,,
Granite-Lena Park,2121.0,Y,143,754.0,Blue Hill Avenue, Dorchester
Granite-Quincy-Geneva,2121.0,Y,94,320.0,Blue Hill Avenue # B, Boston
Granite-Walnut Washington,2119.0,Y,65,3230.0,Washington St, Boston
Granite-Washington Columbia I,2121.0,Y,326,173.0,Columbia Rd #173, Dorchester
Grant Manor Apartments,2118.0,Y,179,1810.0,Washington St, Boston
Green (VUP),2121.0,,2,20.0,Newton St, Brookline
Green (VUP) CDFI,2121.0,,2,,,
Greenway Apartments,2128.0,,27,172.0,Maverick St, Boston
Grove Hall Apts,2121.0,Y,104,12.0,Castlegate Rd # 9, Dorchester
Grubow (VUP),2126.0,,2,,,
Guaetta (VUP),2128.0,,2,,,
Habitat Arrowhead Site (REMS Land),2121.0,,19,205.0,E Dewey Ave, Sapulpa
Habitat Balina Pl,2124.0,,2,434.0,Massachusetts Ave Suite 201, Boston
Habitat Bradeen St,2131.0,,2,1580.0,VFW Pkwy, West Roxbury
Habitat Fairland St,2119.0,,3,434.0,Massachusetts Ave Suite 201, Boston
Habitat Regent Street,2119.0,,6,1580.0,VFW Pkwy, West Roxbury
Habitat Woodbine St,2119.0,,2,434.0,Massachusetts Ave Suite 201, Boston
Habitat-Woodville Street,2119.0,,4,434.0,Massachusetts Ave Suite 201, Boston
Hale House,2116.0,,56,273.0,Clarendon St, Boston
Haley House,2118.0,Y,26,23.0,Dartmouth St, Boston
Hamilton St Studios/Pine Street,2125.0,,52,444.0,Harrison Ave, Boston
Hammond Street,2120.0,,14,,Hammond St, Boston
Hampton House (2-44B),2118.0,,78,155.0,Northampton St, Boston
Hano Homes II,2134.0,,12,60.0,Hano St, Boston
Haraska (VUP),2122.0,,2,,,
Harbor Point,2125.0,Y,350,,Harbor Point Blvd, Boston
Harborview Condominiums,2127.0,,25,10.0,Orleans St, East Boston
Hargrove (VUP),2119.0,,3,,,
Harrison Commons,2118.0,,196,,Harrison Ave, Boston
Harrison-Albany Block Building A,2118.0,,299,300.0,Harrison Ave, Boston
Hartford Manor,2125.0,,18,,,
Hartwell Terrace,2121.0,Y,17,,Hartwell St, Boston
Harvard Commons Coop,2124.0,,45,6.0,Snowden Way, Boston
Hassan Apts (2-62),2136.0,,100,705.0,River St, Boston
Hazel Parks,2124.0,,48,3.0,Hazel St, Waltham
Hearth at 4-Corners,2121.0,,54,16.0,Ronald St, Boston
Hearth at Olmsted Green,2124.0,,59,,Hummingbird Ln, Boston
Hemenway Apartments,2115.0,Y,183,768.0,Huntington Ave, Boston
Heritage Apts (2-52),2128.0,Y,296,209.0,Sumner St, Boston
Heritage at Cleveland Circle,2135.0,,90,,,
Hiawatha|Mattapan Neighborhood Homes,2126.0,,8,65.0,Morton Village Dr, Boston
Highland Homes at Fort Hill - Home Again,2119.0,,18,58.0,Beech Glen St, Boston
Highland House,2119.0,,14,125.0,Highland St, Boston
Highland Park (2-89B),2119.0,,26,,,
Highland Park Estates - Home Again,2119.0,,6,58.0,Beech Glen St, Boston
Highland Park II (Affordable),2119.0,,11,58.0,Beech Glen St, Boston
Hillside Homes at Franklin Park,2130.0,,12,131.0,Morton St, Jamaica Plain
Historic South End Apartments,2116.0,Y,146,792.0,Tremont St #1051, Boston
Hoffman (VUP) CDFI,2124.0,,2,18.0,Tremont St Suite 500, Boston
Holgate Apartments (2-29),2120.0,,81,,,
Holmes (VUP),2121.0,,2,40.0,School St, Boston
Home Again (Back of the Hill),2120.0,,22,,,
