,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
18,Andrade (VUP),Dorchester,2122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Andrade (VUP) Dorchester,"['154 Centre St, Boston, MA 02124, United States']"
19,Andrew Square Apts,South Boston,2127,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,Andrew Square Apts South Boston,"['235 Old Colony Ave, Boston, MA 02127, United States']"
20,Angela Westover House,Jamaica Plain,2130,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,Y,Y,Angela Westover House Jamaica Plain,"['536 Granite St, Braintree, MA 02184, United States']"
21,Annapolis (2-27),Dorchester,2125,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,,Annapolis (2-27) Dorchester,"['2 Dorchester Dr, Annapolis, MD 21403, USA']"
22,Archdale (200-7),Roslindale,2131,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,,Archdale (200-7) Roslindale,"['200 Archdale Rd, Boston, MA 02131, USA']"
23,Archstone Boston Common,Chinatown,2111,420,420,0,374.0,374.0,0.0,46,46,0.0,Rental,Private,,,Archstone Boston Common Chinatown,"['660 Washington St, Boston, MA 02111, United States']"
24,Armory Condos,Charlestown,2129,42,0,42,36.0,0.0,36.0,6,0,6.0,Ownership,Private,,,Armory Condos Charlestown,"['380 Bunker Hill St, Charlestown, MA 02129, United States']"
25,Ashmont (2-28),Dorchester,2124,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Public,Y,,Ashmont (2-28) Dorchester,"['228 Ashmont St, Boston, MA 02124, USA']"
26,Ashmont TOD (Housing),Dorchester,2124,116,74,42,42.0,0.0,42.0,74,74,0.0,Rental,Private,,,Ashmont TOD (Housing) Dorchester,"['1943 Dorchester Ave, Dorchester, MA 02124, United States']"
27,Astoria Street Condos (Elizabeth Street),Mattapan,2126,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,Astoria Street Condos (Elizabeth Street) Mattapan,"['217 Elizabeth St, New York, NY 10012, United States']"
28,Atlantic Wharf,Downtown,2210,86,86,0,81.0,81.0,0.0,5,5,0.0,Rental,Private,,,Atlantic Wharf Downtown,"['280 Congress St, Boston, MA 02210, United States']"
29,Atrium Lofts,East Boston,2128,218,0,218,186.0,0.0,186.0,32,0,32.0,Ownership ,Private,,,Atrium Lofts East Boston,"['1079 Commonwealth Ave, Boston, MA 02215, United States']"
30,Audubon Apts,Mattapan,2126,37,37,0,5.0,5.0,0.0,32,32,0.0,Rental,Private,,,Audubon Apts Mattapan,"['16 Miner St UNIT 206, Boston, MA 02215, United States']"
31,Ausonia (2-61),North End,2109,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Public,Y,,Ausonia (2-61) North End,[]
32,Ava Theater District,Downtown,2116,398,398,0,358.0,358.0,0.0,40,40,0.0,Rental,Private,,,Ava Theater District Downtown,"['45 Stuart St, Boston, MA 02116, United States']"
33,Avalon at North Station,West End,2114,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,,Avalon at North Station West End,"['1 Nashua St, Boston, MA 02114, United States']"
34,Avalon at Prudential Center,Back Bay,2116,188,188,0,182.0,182.0,0.0,6,6,0.0,Rental,Private,,,Avalon at Prudential Center Back Bay,"['780 Boylston St, Boston, MA 02199, United States']"
35,Avana Lofts,Chinatown,2111,32,32,0,29.0,29.0,0.0,3,3,0.0,Rental,Private,,,Avana Lofts Chinatown,"['42 Beach St, Boston, MA 02111, United States']"
36,Avenir Development,West End,2114,241,241,0,224.0,224.0,0.0,17,17,0.0,Rental,Private,,,Avenir Development West End,"['101 Canal St, Boston, MA 02114, United States']"
37,Avondale Place,Mission Hill,2115,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,,Avondale Place Mission Hill,"['764 Huntington Ave #6321, Boston, MA 02115, United States']"
38,Babcock Tower,Allston,2134,213,213,0,53.0,53.0,0.0,160,160,0.0,Rental,Private,,Y,Babcock Tower Allston,"['270 Babcock St, Boston, MA 02215, United States']"
39,Back of the Hill 202,Mission Hill,2130,125,125,0,0.0,0.0,0.0,125,125,0.0,Rental,Private,Y,Y,Back of the Hill 202 Mission Hill,"['100 S Huntington Ave, Boston, MA 02130, United States']"
40,Back of the Hill HOP,Mission Hill,2120,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,,Back of the Hill HOP Mission Hill,"['60 Ellingwood St, Boston, MA 02120, United States', '100 S Huntington Ave, Jamaica Plain, MA 02130, United States']"
41,Bailey (VUP),Roxbury,2121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Bailey (VUP) Roxbury,"['360 Huntington Ave, Boston, MA 02115, United States']"
42,Baker Square Condominium,Mattapan,2124,60,60,0,52.0,52.0,0.0,8,8,0.0,Rental,Private,,,Baker Square Condominium Mattapan,"['1243 Adams St, Boston, MA 02124, United States', '02124 and 1245, 1243 Adams St, Dorchester Center, MA 02124, United States']"
43,Balina Place at Norfolk St/Habitat,Dorchester,2124,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,Balina Place at Norfolk St/Habitat Dorchester,[]
44,Bancroft Apts,Jamaica Plain,2119,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,Bancroft Apts Jamaica Plain,"['197 Green St, Jamaica Plain, MA 02130, United States']"
45,Baptista (VUP),Dorchester,2125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Baptista (VUP) Dorchester,"['150 Mt Vernon St #560, Dorchester, MA 02125, United States']"
46,Barlett Square,Jamaica Plain,2130,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,Barlett Square Jamaica Plain,"['154 Green St, Boston, MA 02130, United States']"
47,Barnes School 202,East Boston,2128,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,Y,,Barnes School 202 East Boston,[]
48,Bartlett Place Building E,Roxbury,2119,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,Bartlett Place Building E Roxbury,"['2565 Washington St, Boston, MA 02119, United States']"
49,Bartlett Place/Building B,Roxbury,2119,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,,Bartlett Place/Building B Roxbury,"['2565 Washington St, Boston, MA 02119, United States']"
50,Basilica (667-6),Charlestown,2129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,,Basilica (667-6) Charlestown,"['106 13th St, Boston, MA 02129, United States']"
51,Bates School/Artblock 731,South End,2118,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,,Bates School/Artblock 731 South End,"['731 Harrison Ave, Boston, MA 02118, United States']"
52,Bay Cove Group Homes I,Roslindale,2131,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,Bay Cove Group Homes I Roslindale,"['39 Glencliff Rd, Boston, MA 02131, United States']"
53,Bay Cove Group Homes III,South Boston,2127,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,Y,Bay Cove Group Homes III South Boston,"['66 Canal St, Boston, MA 02114, United States']"
54,Bay Cove Group Homes IV,Dorchester,2125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,,Bay Cove Group Homes IV Dorchester,"['44 Fairmount St, Boston, MA 02124, United States']"
55,Bay Cove Hyde Park,Roslindale,2131,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Bay Cove Hyde Park Roslindale,"['39 Glencliff Rd, Boston, MA 02131, United States']"
56,BCN Properties,Roxbury,2119,53,53,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,BCN Properties Roxbury,"['30 Bower St, Boston, MA 02119, United States']"
57,Beacon House,Beacon Hill,2114,135,135,0,50.0,50.0,0.0,85,85,0.0,Rental,Private,Y,Y,Beacon House Beacon Hill,"['19 Myrtle St #208, Boston, MA 02114, United States']"
58,Beasley (VUP),Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Beasley (VUP) Dorchester,"['135 William T Morrissey Blvd, Boston, MA 02125, United States']"
59,Belgrade Place,West Roxbury,2132,39,39,0,34.0,0.0,34.0,5,5,0.0,Rental,Private,,,Belgrade Place West Roxbury,"['446 Belgrade Ave, West Roxbury, MA 02132, United States']"
60,Bellflower (2-77),Dorchester,2125,114,114,0,0.0,0.0,0.0,114,114,0.0,Rental,Public,Y,,Bellflower (2-77) Dorchester,"['2 Bellflower St, Boston, MA 02125, USA', '2 W Bellflower St, Boston, MA 02125, USA']"
61,"Berkeley Investments, Inc.",South Boston Waterfront,2127,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,,"Berkeley Investments, Inc. South Boston Waterfront","['125 High St #531, Boston, MA 02110, United States']"
62,Beryl Gardens,Roxbury,2119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,Beryl Gardens Roxbury,"['184 Dudley St #102, Boston, MA 02119, United States']"
63,BHA Infill 1A - Quincy Geneva,Roxbury,2121,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,BHA Infill 1A - Quincy Geneva Roxbury,[]
64,BHA Infill 1B - Codman Square NDC,Dorchester,2124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,BHA Infill 1B - Codman Square NDC Dorchester,"['587 Washington St, Dorchester Center, MA 02124, United States']"
65,BHA Infill 2 - Urban Edge,Roxbury,2119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,,BHA Infill 2 - Urban Edge Roxbury,[]
66,BHA Infill 3 - Nuestra,Roxbury,2119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,,BHA Infill 3 - Nuestra Roxbury,"['56 Warren St, Boston, MA 02119, United States']"
67,BHP Codman Square,Dorchester,2124,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,BHP Codman Square Dorchester,"['637 Washington St, Boston, MA 02124, United States']"
68,BHP Fields Corner,Dorchester,2122,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Private,,Y,BHP Fields Corner Dorchester,"['1 Arcadia St, Dorchester, MA 02122, United States']"
69,BHP Frawley-Delle,Mission Hill,2115,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y,BHP Frawley-Delle Mission Hill,"['706 Huntington Ave, Boston, MA 02115, United States']"
70,BHP Hano Street,Allston,2134,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,Section 8 or MRVP,BHP Hano Street Allston,"['100-102 Hano St, Boston, MA 02134, United States']"
71,BHP Lena Park,Dorchester,2121,93,93,0,0.0,0.0,0.0,93,93,0.0,Rental,Private,,,BHP Lena Park Dorchester,"['150 American Legion Hwy, Dorchester, MA 02124, United States', '754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
72,BHP Quincy-Geneva,Roxbury,2121,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y,BHP Quincy-Geneva Roxbury,"['320 Blue Hill Avenue # B, Boston, MA 02121, United States']"
73,BHP Washington Park,Jamaica Plain,2119,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,,BHP Washington Park Jamaica Plain,"['3377 Washington St, Boston, MA 02130, United States']"
74,BHP Westland Ave,Fenway,2115,20,20,0,5.0,5.0,0.0,15,15,0.0,Rental,Private,,,BHP Westland Ave Fenway,"['35 Westland Ave, Boston, MA 02115, United States']"
75,Bickford (2-25),Jamaica Plain,2130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,,Bickford (2-25) Jamaica Plain,"['2 Bickford St, Jamaica Plain, MA 02130, USA']"
76,Bird St. Estates,Roxbury,2125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,Bird St. Estates Roxbury,"['Roxbury, MA 02119, United States']"
77,Blackstone Apts,West End,2114,145,145,0,0.0,0.0,0.0,145,145,0.0,Rental,Private,Y,Y,Blackstone Apts West End,"['33 Blossom St, Boston, MA 02114, United States']"
78,Blake Estates I,Hyde Park,2136,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,Y,Y,Blake Estates I Hyde Park,"['1344 Hyde Park Ave, Hyde Park, MA 02136, United States']"
79,Blake Estates II,Hyde Park,2136,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,Y,Y,Blake Estates II Hyde Park,"['1344 Hyde Park Ave, Hyde Park, MA 02136, United States']"
80,Blandino Farms,Dorchester,2124,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,Blandino Farms Dorchester,[]
81,Blessed Sacrament Mixed-Use (Rental + SRO),Jamaica Plain,2130,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,,Blessed Sacrament Mixed-Use (Rental + SRO) Jamaica Plain,"['31 Germania Street, Building A, Jamaica Plain, MA 02130, United States', '1 City Hall Square #9, Boston, MA 02201, United States']"
82,Bloomfield Gardens,Dorchester,2124,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,Bloomfield Gardens Dorchester,"['Bloomfield St, Boston, MA 02124, USA']"
83,Blue Hill Commons,Roxbury,2119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,Blue Hill Commons Roxbury,"['Blue Hill Avenue, Boston, MA, USA']"
84,Blue Mountain Assoc.,Roxbury,2121,217,217,0,0.0,0.0,0.0,217,217,0.0,Rental,Private,,Y,Blue Mountain Assoc. Roxbury,"['457 Blue Hill Avenue, Boston, MA 02126, United States']"
85,Border Falcon Condominiums,East Boston,2128,14,0,14,0.0,0.0,0.0,14,0,14.0,Ownership,Private,,,Border Falcon Condominiums East Boston,"['301 Border St, Boston, MA 02128, United States']"
86,Boston East,East Boston,2128,200,200,0,174.0,174.0,0.0,26,26,0.0,Rental,Private,,,Boston East East Boston,"['126 Border St, Boston, MA 02128, United States']"
87,Boston Kenmore Realty LLC,Leather District,2111,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,Boston Kenmore Realty LLC Leather District,"['474 Commonwealth Ave, Boston, MA 02215, United States']"
88,Boston Landing,Brighton,2135,295,295,0,257.0,257.0,0.0,38,38,0.0,Rental,Private,,,Boston Landing Brighton,"['Boston, MA 02135, United States']"
89,Boston Rehab,Fenway,2115,144,144,0,0.0,0.0,0.0,144,144,0.0,Rental,Private,Y,Y,Boston Rehab Fenway,"['896 Beacon St Suite A, Boston, MA 02215, United States']"
90,Boston Trailer Park Tenants,West Roxbury,2132,104,104,0,26.0,26.0,0.0,78,78,0.0,Rental,Private,,,Boston Trailer Park Tenants West Roxbury,"['1515 VFW Pkwy, West Roxbury, MA 02132, United States']"
91,Boston Wharf Tower,South Boston Waterfront,2127,202,202,0,180.0,180.0,0.0,22,22,0.0,Rental,Private,,,Boston Wharf Tower South Boston Waterfront,"['65-85 E India Row, Boston, MA 02110, United States']"
92,Boston's Hope in Dorchester,Dorchester,2124,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,Y,,Boston's Hope in Dorchester Dorchester,"['71 Kingsdale St, Dorchester Center, MA 02124, United States']"
93,Bowditch School Lodging House,Jamaica Plain,2130,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,,Bowditch School Lodging House Jamaica Plain,"['82 Green St, Boston, MA 02130, United States']"
94,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,2122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,,Bowdoin Geneva Phase III (HOME AGAIN) Dorchester,"['200 Bowdoin St, Dorchester, MA 02122, United States', '230 Bowdoin St, Dorchester, MA 02122, United States']"
95,Bowdoin Place,Downtown,2114,75,0,75,56.0,0.0,56.0,19,0,19.0,Ownership,Private,Y,,Bowdoin Place Downtown,"['Bowdoin St, Boston, MA, USA']"
96,Bowdoin School,Beacon Hill,2114,35,35,0,0.0,0.0,0.0,35,35,0.0,Rental,Private,Y,Y,Bowdoin School Beacon Hill,"['45 Myrtle St, Boston, MA 02114, United States']"
97,Bowdoin/Geneva - HOME AGAIN,Dorchester,2125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,Bowdoin/Geneva - HOME AGAIN Dorchester,"['200 Bowdoin St, Dorchester, MA 02122, United States', '230 Bowdoin St, Dorchester, MA 02122, United States']"
98,Bowdoin/Geneva (Phase II),Dorchester,2125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,,Bowdoin/Geneva (Phase II) Dorchester,"['200 Bowdoin St, Dorchester, MA 02122, United States', '230 Bowdoin St, Dorchester, MA 02122, United States']"
99,Bowdoin-Geneva & Dudley FTHB,Dorchester,2125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,Bowdoin-Geneva & Dudley FTHB Dorchester,"['230 Bowdoin St, Dorchester, MA 02122, United States']"
100,Bowdoin-Geneva & Dudley Rental,Roxbury,2119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,Bowdoin-Geneva & Dudley Rental Roxbury,"['230 Bowdoin St, Dorchester, MA 02122, United States']"
101,Bowen (VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Bowen (VUP) Dorchester,"['1 Westinghouse Plaza, Hyde Park, MA 02136, United States']"
102,Boylston St Mixed Use,Back Bay,2116,85,85,0,75.0,75.0,0.0,10,10,0.0,Rental,Private,,,Boylston St Mixed Use Back Bay,"['500 Boylston St, Boston, MA 02116, United States']"
103,Boylston West (Fenway Triangle Mixed Use),Fenway,2215,172,172,0,159.0,159.0,0.0,13,13,0.0,Rental,Private,,,Boylston West (Fenway Triangle Mixed Use) Fenway,"['180 Brookline Ave, Boston, MA 02215, United States']"
104,Bradford Estates,Dorchester,2124,24,0,24,0.0,0.0,0.0,24,0,24.0,Ownership,Private,,,Bradford Estates Dorchester,"['1910 Marne Hwy, Hainesport, NJ 08036, United States']"
105,Bradlee-Fowler,Dorchester,2124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,,Bradlee-Fowler Dorchester,"['Bradlee St, Boston, MA 02124, USA', 'Fowler St, Boston, MA 02121, USA']"
106,Bradley Properties,South End,2118,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,Y,Bradley Properties South End,"['340 Shawmut Ave, Boston, MA 02118, United States']"
107,Brandywyne Village,East Boston,2128,402,402,0,136.0,136.0,0.0,266,266,0.0,Rental,Private,,Y,Brandywyne Village East Boston,"['88 Brandywyne Dr, East Boston, MA 02128, United States']"
108,Brantley (VUP),Mattapan,2126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Brantley (VUP) Mattapan,"['2 Liberty Sq 8th floor, Boston, MA 02109, United States']"
109,Braxton (VUP),Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Braxton (VUP) Dorchester,"['40 Gibson St, Dorchester, MA 02122, United States']"
110,Brewery Lofts,Mission Hill,2130,79,0,79,71.0,0.0,71.0,8,0,8.0,Ownership,Private,,,Brewery Lofts Mission Hill,"['251 Heath St, Jamaica Plain, MA 02130, United States']"
111,BRIAN J HONAN APARTMENTS,Allston,2134,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,BRIAN J HONAN APARTMENTS Allston,"['57 Everett St N, Allston, MA 02134, United States']"
112,Brighton Gardens,Brighton,2135,62,62,0,49.0,49.0,0.0,13,13,0.0,Rental,Private,Y,,Brighton Gardens Brighton,"['59 Roxbury Rd, Stamford, CT 06902, United States']"
113,Brighton-Allston Apts,Allston,2134,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,,Brighton-Allston Apts Allston,"['57 Everett St N, Allston, MA 02134, United States']"
114,Brighton-Allston Elderly,Brighton,2134,80,80,0,1.0,1.0,0.0,79,79,0.0,Rental,Private,Y,Y,Brighton-Allston Elderly Brighton,"['677 Cambridge St, Brighton, MA 02135, United States']"
115,"Bromley Park (2-19, -75, -101)",Jamaica Plain,2130,779,779,0,0.0,0.0,0.0,779,779,0.0,Rental,Public,Y,,"Bromley Park (2-19, -75, -101) Jamaica Plain",[]
116,Brook Avenue Cooperative,Roxbury,2119,36,36,0,0.0,0.0,0.0,36,36,0.0,Cooperative,Private,,,Brook Avenue Cooperative Roxbury,"['147 Moreland St, Roxbury, MA 02119, United States']"
117,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,2125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN) Roxbury",[]
118,Brookside Artists Housing,Jamaica Plain,2130,21,0,21,3.0,0.0,3.0,18,0,18.0,Ownership,Private,,,Brookside Artists Housing Jamaica Plain,"['120 Brookside Ave, Boston, MA 02130, United States']"
119,Brookview House,Dorchester,2124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,Brookview House Dorchester,"['2 Brookview St #1, Dorchester Center, MA 02124, United States']"
120,Brookview House II,Dorchester,2124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Brookview House II Dorchester,"['2 Brookview St #1, Dorchester Center, MA 02124, United States']"
121,Brookview House III,Dorchester,2124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,Brookview House III Dorchester,"['2 Brookview St #1, Dorchester Center, MA 02124, United States']"
122,Brown (VUP),Dorchester,2121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Brown (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
123,"Brown, J & D (VUP)",Roxbury,2121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"Brown, J & D (VUP) Roxbury","['77 Warren St # 461, Brighton, MA 02135, United States']"
124,Brown-Kaplan Townhomes,Dorchester,2124,60,60,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,Brown-Kaplan Townhomes Dorchester,"['754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
125,Brownstone Apartments,South End,2118,75,75,0,0.0,0.0,0.0,75,75,0.0,Rental,Private,,Y,Brownstone Apartments South End,"['163 W Springfield St # A, Boston, MA 02118, United States']"
126,Brunswick Street,Dorchester,2121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,Brunswick Street Dorchester,"['Brunswick St, Boston, MA 02121, USA']"
127,Brush Hill Commons,Jamaica Plain,2130,14,0,14,8.0,0.0,8.0,6,0,6.0,Ownership,Private,,,Brush Hill Commons Jamaica Plain,"['Brush Hill Rd, Milton, MA, USA']"
128,Buckminster Hotel,Fenway,2215,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,Buckminster Hotel Fenway,"['645 Beacon St, Boston, MA 02215, United States']"
129,Buildable Lots - Codman Square,Dorchester,,6,0,6,1.0,0.0,1.0,5,0,5.0,Ownership,Private,,,Buildable Lots - Codman Square Dorchester,"['587 Washington St, Dorchester Center, MA 02124, United States']"
130,Buildable Lots - Ferndale,Dorchester,2124,12,0,12,3.0,0.0,3.0,9,0,9.0,Ownership,Private,,,Buildable Lots - Ferndale Dorchester,[]
131,Buildable Lots - Uphams,Dorchester,,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,Buildable Lots - Uphams Dorchester,"['530 Columbia Rd, Boston, MA 02125, United States']"
